system:index,area,band,class,class_name,.geo
4_0_10,900.9603611181645,classification_1989,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_11,1131.885668434835,classification_1989,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_12,1.3221573224487304,classification_1989,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_13,261.4827243056033,classification_1989,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_14,302.95559388463516,classification_1989,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_15,3.16732110388186,classification_1989,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_16,0.021100907775878905,classification_1989,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_17,4.670417348937987,classification_1989,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_18,6011.873975736828,classification_1989,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_19,3.0143600549926663,classification_1989,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_20,5.194311231689443,classification_1989,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_21,49.543371045715446,classification_1989,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_22,18.007921747558598,classification_1989,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_23,4.20001647460937,classification_1989,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_24,279.25579543232396,classification_1989,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,23.3927629547117,classification_1990,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,310524.4974178676,classification_1990,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,22007.868803815014,classification_1990,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,914.2813271221322,classification_1990,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,76.27528854779179,classification_1990,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,5457.344373971613,classification_1990,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,30395.480560824657,classification_1990,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,77.35848420611484,classification_1990,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,2624.582948530125,classification_1990,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_9,0.23217677673339832,classification_1990,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_10,944.8222877313231,classification_1990,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_11,1134.9610502611995,classification_1990,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_12,1.4058708844604497,classification_1990,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_13,260.7122921388547,classification_1990,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_14,302.3022755649331,classification_1990,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_15,3.9690601063232744,classification_1990,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_16,4.384932319702148,classification_1990,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_17,6310.503633593561,classification_1990,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_18,4.854832832763674,classification_1990,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_19,1.6977076573486316,classification_1990,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_20,55.45619507421883,classification_1990,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_21,13.412790968627915,classification_1990,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_22,3.590994198425294,classification_1990,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_23,276.8878626425913,classification_1990,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,22.1111397282102,classification_1991,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,310426.8867741817,classification_1991,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_2,21949.233007567276,classification_1991,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,909.9495447972942,classification_1991,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_4,187.6023276762699,classification_1991,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_5,5387.384170916101,classification_1991,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_6,30306.544701783027,classification_1991,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_7,75.4849325461413,classification_1991,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_8,2628.5397711788073,classification_1991,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_9,0.22780299072265614,classification_1991,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_10,1003.5198068945912,classification_1991,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_11,1154.476434059019,classification_1991,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_12,1.4742308553466803,classification_1991,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_13,246.50424153674325,classification_1991,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_14,307.3006923673014,classification_1991,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_15,4.278335520629917,classification_1991,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_16,4.327714825134276,classification_1991,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_17,6450.195403197742,classification_1991,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_18,5.871404899536125,classification_1991,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_19,1.5549090943603538,classification_1991,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_20,59.261552795532246,classification_1991,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_21,11.438245065734844,classification_1991,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_22,1.981859253051756,classification_1991,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_23,274.12692686115884,classification_1991,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,22.52140885455297,classification_1992,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_1,310193.52915963804,classification_1992,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_2,21945.00553710131,classification_1992,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_3,888.8010925340288,classification_1992,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_4,191.16849428308086,classification_1992,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_5,5366.419383048432,classification_1992,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_6,30230.023055394307,classification_1992,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_7,69.8789578669423,classification_1992,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_8,2925.441354967629,classification_1992,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_9,0.2286822261352538,classification_1992,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_10,992.0261537611061,classification_1992,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_11,1158.721327758623,classification_1992,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_12,1.5160922704467774,classification_1992,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_13,245.14826843975908,classification_1992,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_14,306.0852573022381,classification_1992,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_15,4.496589883422877,classification_1992,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_16,0.018463244079589845,classification_1992,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_17,5.527817578491215,classification_1992,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_18,6510.64259421059,classification_1992,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_19,6.753901038940435,classification_1992,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
